Love You More Than Peanut Butter | Love You More Than Peanut Butter,/en/movie-tiff/movie/14653,"In a skate park, a teenager named Charis tries desperately to convince his best friend to go talk to his crush, the hottest skater in the park. But Charis crosses the line and puts their friendship at risk."
Magma | Magma,/en/movie-tiff/movie/14645,A lonely woman on a distant planet. A creature that fell from the sky. A storm is coming.
Not Tomorrow | Όχι αύριο,/en/movie-tiff/movie/14636,"Michalis has barely 24 hours to redefine his life and make up for his close ones. That same night, he meets a girl. He only wishes that the morning never comes."
Pendulus | Pendulus,/en/movie-tiff/movie/14638,"Arbi, 24, is raised in Athens. After the events on the night of the Serbia–Albania football match, Arbi will have to decide whether to attend the wedding of his relatives, whether to claim the girl he likes, and whether he is Albanian or Greek."
Sammer | Σάμμερ,/en/movie-tiff/movie/14654,"Summer ends, and with that, every illusion of reality slowly fades away. What happens if you want to hold on to this illusion no matter what?"
Sun & Shadow | Φωτοευαισθησία,/en/movie-tiff/movie/14656,There was light and it was brutal. The shadows could not heal. The Boy had fallen into sleep. The Girl was recalling and the sand was everywhere.
The Invention of Less,/en/movie-tiff/movie/14597,"Due to global warming, a young polar bear has to leave her home and move to Zurich. Together with other animals, she tries to make a living with casual jobs until she suddenly has an idea that will change the world forever."
tokakis or What’s My Name | tokakis or What’s My Name,/en/movie-tiff/movie/14649,"Thanos Tokakis begins a stand-up comedy tour in the Greek countryside, in order to prove to everyone the great actor he is. On this journey, he confronts the audience which won’t let go of his TV performance; but, most of all, he needs to face himself in the eye, as he's struggling to transcend his limits to reach success. Through the end."
Toxic Magnus | Toxic Magnus,/en/movie-tiff/movie/14640,"Following a years-long intense struggle against his father’s obsession with turning him into a macho man, Magnus makes a failed suicide attempt which will eventually lead him to become a life coach."
Trixes | Trixes,/en/movie-tiff/movie/14655,It’s raining. You are trapped in a hair salon. Are you going to cut your hair or not? Will a haircut cure your melancholy? Visit the website to get the whole TRIXES experience.
Yama | Γιάμα,/en/movie-tiff/movie/14651,Athens is celebrating Independence Day: A girl lights a small fire and tells a small lie about a boy. But small racist lies can easily get out of hand. So do small racist fires.
The Woodcutter Story | Metsurin Tarina,/en/movie-tiff/movie/14676,"Pepe is a kind, loveable woodcutter living in an idyllic small town in Finland. In the span of a couple of days, a series of tragic events gradually destroys his quiet and happy life – but Pepe seems to be fine with it all. As if he held a secret to existence that is hard to grasp...  A battle between hope and despair is unleashed and Pepe’s optimism and goodwill are put to an ultimate test. An unpredictable oddity that tackles familiar tropes, themes, and modes of Nordic cinema, only to deliver a deeply melancholic, but utterly satisfying piece of muted, comic surrealism. A film which, in the words of the filmmaker, raises an important question: “What is hope in our world full of destruction and cynical approaches?” This can only be answered by a kind of cinema that is “metaphorical, open and profoundly layered in meaning.”"
A Matter of Trust | Ingen kender dagen,/en/movie-tiff/movie/14490,"Five individuals located five different places in the country and living five different and unique lives. Over the course of 24 hours, they will each face one of life’s defining and crucial crossroads. An unfaithful husband, a doctor struggling with her moral character, a newlywed and pregnant woman, a young student searching for an identity, and a seven-year-old daughter – they will all risk the most vulnerable aspect of life: trust. But trust is under attack, and the consequences will be fatal, forbidden and embarrassingly amusing."
"Hot in Day, Cold at Night | Najeneun deopgo bameneun chupgo",/en/movie-tiff/movie/14669,"A young couple is having a hard time because of their poor circumstances. They are both desperately searching for work, but that is not easy, either. Meanwhile, the husband is about to lose the camera he has lent to his acquaintance, and the wife is cornered after borrowing private loans to take care of the household. Under the circumstances, something ugly will likely happen or come to a dead-end, but the film deals with this predicament with a completely unexpected attitude and wit. The couple’s conversation, facial expressions, movements, and postures, as well as the illumination and density of the screen that captures them, simultaneously create bizarre humor and lonesome emotions, absorbing the audience. Hot in Day, Cold at Night is a rare moral comedy that comforts the daily lives of poverty with a strange touch of laughter. In the last scene, the husband’s helpless giving up finally moves us. (Film at Lincoln Center)"
The Ballad of Crowfoot | The Ballad of Crowfoot,/en/movie-tiff/movie/14582,"In the acclaimed The Ballad of Crowfoot by Willie Dunn, a dynamic editing juxtaposes archival photos with Dunn’s ballad. This heart-wrenching and painful mix of music and image unfolds the story of both Canada’s indigenous people and Crowfoot, the legendary chief of the Blackfeet tribe."
The Exiles | The Exiles,/en/movie-tiff/movie/14543,"One of the most legendary and underseen masterpieces in the history of cinema revolves around a group of young indigenous Americans, living in LA’s Bunker Hill. Yvonne, a pregnant Apache woman, and Homer, her Hualapai husband, share their tiny flat with Tony, a gifted Mexican, and four native women. At night, when men go out on a drinking, gambling and flirting spree, Yvonne goes to the movies all by herself or roams in the streets, oozing a repressed yearning. The film’s documentary-like black and white frames capture fragments of life in the metropolis, depicting snapshots from a dislocated generation, torn between its origins and the bleak everyday life of the contemporary urban landscape."
When All the Leaves are Gone | When All the Leaves are Gone,/en/movie-tiff/movie/14583,"In When All the Leaves Are Gone, the central heroine is the sole indigenous student in an all-white school, during the 1940s. The eight-year-old girl is aware of the hostile atmosphere around her, which will transform into proper bullying when excerpts from a history book that represent indigenous people as boors and barbarians, are read aloud in class. All alone in her own hell, she finds relief and strength within the protected world of her magic dreams. Inspired by the director and screenwriter’s personal experiences, When All the Leaves Are Gone combines autobiographical elements, fiction and legends, to interweave a moving story about self-rejection and the redeeming power of imagination."
Vera | Vera,/en/movie-tiff/movie/14704,"Vera lives in the shadow of her famous father. Tired of her superficial life and relationships, she drifts through Roman high society. When she injures a child in a traffic accident in the suburbs, she forms an intense relationship with an eight-year-old boy and his father. But soon she must realize that also in this world she is only an instrument for others."
The Cow Who Sang a Song Into The Future | La vaca que cantó una canción sobre el futuro,/en/movie-tiff/movie/14462,"In this mystical exploration of family relationships and fragile environments, magic realism meets ecological absurdism. When thousands of fish die in a polluted river in southern Chile, Magdalena, a woman long-deceased, emerges amongst their lifeless bodies. Magdalena encounters her widowed husband, sending him into a state of shock and prompting the return of their daughter, Cecilia. Magdalena’s presence and her effect on the environment stir curiosity and fear among her family. As the past comes into focus, mother and daughter are met with the opportunity to change the future. A beautifully eerie and resonant tale about motherhood and the natural world, a magical spell that encourages introspection while keeping us on our toes till the very end. The possibility of resurrection and healing emerges from a chorus of aquatic and bovine voices."
The Last Queen | La Dernière reine,/en/movie-tiff/movie/14572,"An unknown facet of Mediterranean history is narrated through a strong female perspective, in a vivid portrait of a heroine from the past that inspires the future. Algeria, 1516. The pirate Aruj Barbarossa frees this land from the tyranny of the Spanish and seizes power over the kingdom. Rumor has it he murdered King Salim Toumi, despite their alliance. Against all odds, one woman will stand up to him: Queen Zaphira. Between history and legend, this woman’s journey tells of a struggle, of personal and political turmoil endured for the sake of a bigger cause."
And Love Has Vanished | Dvoje,/en/movie-tiff/movie/14565,"A romantic encounter. Love. The end of a relationship and the death of a feeling. Alexander Petrović examines the chaos and romance of a couple in an intimate and poetic way. In this work, he revolutionizes the language of cinematography."
Tell me Lies (A Film about London) | Tell me Lies (A Film about London),/en/movie-tiff/movie/14639,"An essential film balancing many different tones and registers, and gaining a whole different sense of timeliness in our turbulent times, which might be read as Brook’s love letter to his craft and his country. “Subtitled A Film About London, this drama is a quintessential experimental counter-culture film of the late 1960s that centers on the questions raised by the Vietnam war. Renowned Shakespearean theater director Peter Brook serves as producer and director. It includes many members of the Royal Shakespeare Company ... [who] become obsessed with a photograph of a wounded Vietnamese child and begin discussing the war with their friends and fellow actors... The discussions are combined with newsreel footage in a bizarre collage of images. Moved to do something, the group of actors puts on a series of skits about the war.” (Michael Betzold, The New York Times)."
Sons of Ramses | Goutte D'Or,/en/movie-tiff/movie/14530,"Ramses is a skillful clairvoyant in the multicultural Parisian district of La Goutte d’Or. When a gang of fearless kids start terrorizing the locals, the balance of his thriving business and of the whole neighborhood is disturbed. Until one day, when Ramses has a real vision... Combining supernatural and criminal elements alike as cover to sneak deeper into this vibrant, little-known community, the awarded director tells a thrilling and moving urban tale that questions themes of belief and blood ties."
The Line | La ligne,/en/movie-tiff/movie/14482,"After a violent argument with her mother, Margaret, 35 years old and with a long history of inflicting and suffering from violence, is subject to a strict restraining order before her trial: she’s no longer allowed to make contact with her mother or approach within 100 meters of the family home for three months. But this separation only exacerbates her desire to be closer to her family and so she returns every day to this invisible and impassable frontier."
The Fabelmans | The Fabelmans,/en/movie-tiff/movie/14726,"Steven Spielberg’s most personal film yet is based on the director’s reflection on the experiences that made him the filmmaker we know and love, in a story based on his childhood in Arizona. Instead of chasing sharks or running from giant boulders, Spielberg has Sammy navigating the interpersonal landmines of home and school life, in what may be the most emotionally expansive film of his career. Starting with gunslingers and war stories, the way any Boy Scout in the late 1950s might, Sammy/Spielberg shows us not only what sparked Spielberg’s love for cinema, but also how empathy and human relationships have sneaked their way into the work of this master filmmaker."
"Before, Now & Then | Nana",/en/movie-tiff/movie/14664,"The film follows different stages in the life of Nana, a gentle and beautiful woman who finds herself entangled in the political turmoil of 1960s Indonesia. Several years later, she escapes poverty through a second marriage to a wealthy Sundanese man. While past memories and the trauma of war continue to haunt her, she begins to question the patriarchal social dictates of her time alongside Ino, her new husband's mistress. In this subtle and emotionally nuanced film, female solidarity and friendship take center stage as Kamila Andini delivers a fascinating portrait of Indonesia’s political past, domestic life and gender dynamics."
Rodeo,/en/movie-tiff/movie/14503,"Since the 2005 uprisings, the Parisian suburbs keep reminding us of the fierce class conflicts and ethnic controversies that characterize the not-so-uniform French territory. After spending years in an underground biker community north of Paris, Lola Quivoron draws on her own personal experience to tell the story of Julia, a hot-tempered and fiercely independent female rider who finds escape in her passion for motorcycles and the fast-paced world of urban “rodeos” – illicit gatherings where bikers show off their bikes and their latest daring stunts. In a film where motorcycles become mechanical horses of a contemporary western, Rodeo explores the female condition in a male-dominated world from a fresh perspective and, at the same time, reveals harsh social realities that fuel conflict."
Somewhere over the Chemtrails | Kdyby Radši Hořelo,/en/movie-tiff/movie/14478,"Standa and Bronya are volunteer firefighters in a small village. While the clumsy Standa is looking forward to the birth of his son soon, his older friend Bronya is no longer enjoying life because his wife has recently died. Things begin to change when a van crashes into a crowd of people during the Easter Fair. Before anyone notices, the driver runs away from the car crash. People believe it is a terrorist attack and the festive mood is replaced by an atmosphere of fear, hatred, and misinformation, into which the locals sink. Bronya, who is convinced of terrorism, is trying to do something to improve the situation. The sense of danger pumps new blood into his veins, and the fire brigade becomes a militia."
Samson & Delilah | Samson & Delilah,/en/movie-tiff/movie/14584,"Warwick Thornton’s Samson & Delilah showcases a sensitive and unconventional love story between two teenage Aboriginals, in the desert of Australia’s inner land, embarking on a survival journey full of hardships. Their tacit – but eloquent in meanings – odyssey reflects the fragile nature of youth, which strives to survive in an environment governed by violent marginalization, lack of prospects, and discrimination. Through scarce dialogues, the resourceful use of expressive means and the spot-on guidance of the amateur cast, the director weaves an unrefined and rough love story that is at once humane and tender."
Incredible but True | Incroyable mais vrai,/en/movie-tiff/movie/14485,"Alain and Marie move to a quiet suburb. A mysterious tunnel in the cellar of their new home will turn their lives upside down... A unique, idiosyncratic, delightful comedy that reveals the endless surprises hidden in the most mundane confined spaces, through a mind-blowing journey in time."
A Νight at the Theater | Μια νύχτα στο θέατρο,/en/movie-tiff/movie/14549,"Two hundred years after the Greek Revolution, a coup d’état is underway in Greece. A man named Odysseus hides in a theater for three days. On the third night, a woman named Athena finds him in his shelter. As the night passes by, they slowly transform into the mythological characters of the same name."
Rebel,/en/movie-tiff/movie/14515,"When Kamal resolves to change his life for the better, he leaves Belgium to help war victims in Syria. But, having arrived, he is forced to join a militia and is left stranded in Raqqa. Back home, his younger brother Nassim quickly becomes easy prey for radical recruiters, who promise to reunite him with his brother. Their mother, Leila, fights to protect the only thing she has left: her youngest son. Violent, lyrical, poetic, and urgent: this is a film rebelling with a cause."
Piggy | Cerdita,/en/movie-tiff/movie/14487,"With the summer sun beating down on her rural Spanish town, Sara hides away in her parent’s butcher shop. A teenager whose excess weight makes her the target of incessant bullying, she flees a clique of capricious girls who torment her at the town pool, only to stumble upon them being brutally kidnapped by a stranger, who drives off with them in his van. When the police begin asking questions, Sara keeps quiet. Intrigued by the stranger – an interest that’s mutual – she’s torn between revealing the truth and protecting the man who saved her. A harrowing genre exploration of bullying, internalized trauma, revenge, and desire."
We Might As Well Be Dead | Wir könnten genauso gut tot sein,/en/movie-tiff/movie/14672,"It may only be a tower block on the edge of a forest, but you can tell by the look on the faces of the people hoping to join the building’s community that this must be one of the last bastions of civilisation in a world that has fallen apart. To live here, shielded from a dangerous environment, is the goal. But when the caretaker’s dog disappears, an irrational fear spreads among the residents. Security officer Anna makes an appeal for reason and begins to search for the animal. Meanwhile, her daughter Iris locks herself in the bathroom. She is convinced that, with her “evil eye,” she herself is responsible for the dog’s disappearance. When a newly formed vigilante group demands stricter security measures and a renewed suitability test for the entire community, Anna begins to fear for her right to stay."
The Orator | O Le Tulafale,/en/movie-tiff/movie/14504,"Shot exclusively on the Island of Upolu in Samoa and in the local language, The Orator constructs a moving drama about courage, forgiveness and love. The leader of the story is Saili, who lives a simple and humble life with his beloved wife and their daughter, in a remote, traditional village. Forced to protect his land and family, Saili has to overcome his fears and find the courage to defend his loved ones."
A Male | Un varon,/en/movie-tiff/movie/14725,"A Dickensian story that effortlessly queers the gangland coming-of-age film, takes us to the heart of Bogotá, in a youth shelter where teenage Carlos spends his everyday life. It's Christmas and he longs to spend the day with his family. As he leaves the shelter for the holidays, Carlos is confronted with the brutality of his neighborhood, ruled by the law of the strongest, the alpha male. He must prove he can be one of them, while deep inside, these expressions of masculinity clash with the decisions he must make in order to survive. A rite of passage that reveals the vulnerability, the latent restlessness for that desired masculinity that hides the fear of something much deeper in a man's psyche, ultimately deconstructing the ready-made, toxic stereotypes dominating human existence and social behavior. A film inspired by actual events from the filmmaker’s own personal experiences growing up in a patriarchal society with its machismo and in the company of “real men.“"
The Worst Ones | Les Pires,/en/movie-tiff/movie/14519,"A film shooting will take place at the cité Picasso, in the suburbs of Boulogne-Sur-Mer, in the north of France. During the casting, four teenagers are chosen to play in the film. Everyone in the neighborhood is surprised: why only take the “worst ones”? Disguised in the form of a film within a film, this sensitive, intelligent drama articulates a subtle critique of the increasingly rising “cinematic slum tourism,” holding up up a mirror of truth that is confoundingly natural and double-minded."
"Small, Slow but Steady | Keiko, me wo sumasete",/en/movie-tiff/movie/14668,"Boxer Keiko was born with a hearing impairment. Boxing is a real challenge, but her club is like a family. After winning two fights, a creeping fear begins to grow in her. Confused, she goes on to her third fight. Meanwhile, the gym is about to close for good. loosely based on the novel Don’t Give Up by Keiko Ogasawara, a real-life hearing-impaired boxer – is far from a typical boxing movie, which lulls us in with the mesmerizing rhythm of the punches, and takes us in a dance-like movement to find both a catharsis (“punching makes me feel good,” as the hero explains succinctly) and a solace. A beautiful, life-affirming film that shows us how to fight while restoring our faith to humanity."
Working Class Heroes | Heroji radničke klase,/en/movie-tiff/movie/14488,"Lidija is a cold-hearted businesswoman working for a construction investor of dubious morals. Lidija’s main task is to oversee the work of the illegal workers working on the construction site and protect the image of the company at all costs. In the meantime, the workers are brought face to face with the brutal reality of capitalism. Unpaid and exhausted, they have to take their fate into their own hands. When they decide to stand up for their rights, the construction site becomes the setting, where social classes and morals clash. Five years in the making, the film exposes relentless corruption, capitalism, and injustice in a game of “big fish eats small fish.”"
Mars One | Marte um,/en/movie-tiff/movie/14464,"The Martins are optimistic dreamers, quietly leading their lives on the margins of a major Brazilian city following the disappointing election of a far-right extremist president. A lower-middle-class Black family, they feel the strain of their new reality as the political dust settles. Tércia, the mother, reinterprets her world after an unexpected encounter leaves her wondering if she’s cursed. Her husband, Wellington, puts all of his hopes into the soccer career of their son, Deivinho, who reluctantly follows his father’s ambitions despite secretly aspiring to study astrophysics and colonize Mars. Meanwhile, their older daughter, Eunice, falls in love with a free spirited young woman and ponders whether it’s time to leave home."
Beautiful Beings | Berdreymi,/en/movie-tiff/movie/14476,"Addi, a boy raised by a clairvoyant mother, decides to adopt a bullied misfit into his gang of outsiders. Left to their own devices, the boys explore aggression and violence but also learn about loyalty and love. As their behavior escalates towards life-threatening situations, Addi begins to experience a series of dreamlike visions. Can his newfound intuition guide him and his friends back to a safer path, or will they dive irrevocably into further violence?"
beDevil | beDevil,/en/movie-tiff/movie/14585,"Visual artist, photographer, multimedia artist, and director Tracey Moffatt, is perhaps the most influential and nuanced voice in the artistic world of the Aborigines of Australia, while her work has been exhibited in institutions like Tate and the MoMA in Los Angeles. In beDevil, what unfolds is three stories dominated by the metaphysical element and by references to the Australian tradition. Rick, an Aborigine boy living by the marsh, is haunted by the image of an American soldier drowning in quicksand. Ruby and her family live in a house on the side of some abandoned railway lines, a site where anyone could see ghosts wandering around. A landlord is struggling to evict the tenants of an old warehouse, a couple that has been dead for years. Modern reality, the colonial past, historic traumas, legends, and doctrines intertwine in an immersive, delusional film."
Blackbird | Blackbird,/en/movie-tiff/movie/14557,"A brother and sister from the Solomon Islands are forced to leave their homeland and move to Australia, at the end of the 19th century, working as modern Helots at a sugar plantation. Juggling the memories from home and the harsh reality of uprooting, the camera juxtaposes images of the overgrown landscapes with the monotony of the fields and everyday labor. Shedding light on one of the darkest and lesser-known pages of Australian history, the “sugar slaves”, this lyrical short film is a declaration of determination and desire for survival."
No Bears | Khers Nist,/en/movie-tiff/movie/14703,"In this year’s Venice Biennale, an empty seat was left for Jafar Panahi at the festival press conference. Currently in jail, the Iranian director has spent the past 12 years in and out of house arrest, banned from traveling or making films outside Iran, and faced with numerous obstacles making films at home. That hasn’t stopped him from delivering a film full of his ideas and anxieties. No Bears portrays two parallel love stories. In both, the lovers are troubled by hidden, inevitable obstacles, the force of superstition, and the mechanics of power. A piece of inventive, illuminating autofiction becomes an act of resistance (as any other film of the director), by simply narrating a story of escape: a couple who lives in a village close to the porous Iranian-Azeri borders tries to flee to Paris with stolen passports, a film crew following them, a second young couple trying to escape a forced marriage and a village full of gossips. A self-reflective masterpiece that highlights what is truly at stake when defending one’s creative freedom."
Alma Viva,/en/movie-tiff/movie/14526,"Like every summer, little Salomé returns to her family village nestled in the Portuguese mountains for the holidays. As the vacations begin in a carefree atmosphere, her beloved grandmother suddenly dies. While the adults are tearing each other apart over the funeral, Salomé is haunted by the spirit of the one who was considered a witch. Exploring one of the most powerful rising feminist discourses – that of witch hunting – this mesmerizing film with the sun-scorched cinematography deploys the power of magic realism to craft a coming-of-age tale like no other."
Days | Dani,/en/movie-tiff/movie/14602,"Far from the realism in style in Yugoslav films from the sixties, Alexander Petrović connects people’s individuality to their psychological conflicts, eroticism, and poetic discourse. This intimate film is a meditation about solitude broken by a brief meeting between a married woman living an unexcited life and a student, a man who is able to put a smile on her face again, at least for one day."
Moderato Cantabile | Moderato Cantabile,/en/movie-tiff/movie/14659,"A beautiful woman leads a banal life as the trophy wife of a town's leading industrialist. Her only pleasure is her interactions with her seven-year-old son. But one day, the incident of a murder in a quayside bistro grants her an opportunity to change everything. Rushing to the crime scene, she strikes up a conversation with an employee of her husband who also saw the crime. The two of them (magnificently played by Jean-Paul Belmondo and Jeanne Moreau, who was awarded at Cannes for her performance) speculate on the circumstances which led to the killing whilst toying subliminally with the idea of an affair. As desire intertwines with fear, obsession starts to emerge... A standout in Peter Brook’s filmography, this open reference to the spirit of Nouvelle Vague, co-scripted by Marguerite Duras and masterfully photographed by the prolific Armand Thirard, reeks with Camusian angst and ravishes with existential aesthetics."
Tanna | Tanna,/en/movie-tiff/movie/14507,"Tanna takes us to a tiny little island of Vanuatu, where different ways of life are caught up in conflict: Some residents have converted to the Christian religion, while others remain faithful to ancestral traditions. As her adulthood initiation ceremony is closing in, a young girl decides to run off with the grandson of a neighboring tribe’s chief. Aware that endogamy is frowned upon by tradition, as inter-tribal marriages help to ensure peace, the two young lovers are trying to conceal their relationship from everyone. Based on true events that took place in the 1980s, and entirely shot in the Nauvhal language, Tanna was a Best Foreign-Language Film Oscar nominee."
War Pony,/en/movie-tiff/movie/14501,"War Pony follows the interlocking stories of two young Oglala Lakota men growing up on the Pine Ridge Reservation. At 23, Bill just wants to make something of himself. Whether it’s delivering goods or breeding Poodles, he is determined to hustle his way to the “American Dream.” Meanwhile, 12-year-old Matho can’t wait to become a man. Desperate for approval from his young father, a series of impulsive decisions turns Matho’s life upside down and he finds himself unequipped to deal with the harsh realities of the adult world. Bound by their shared search for belonging, each of the boys grapple with identity, family, and loss, as they navigate their unique paths to manhood."
Cavewoman | Cavewoman,/en/movie-tiff/movie/14630,"During the Nazi invasion of Greece, a female resistance fighter embarks on a revenge operation to assassinate her own mother, in the name of God. Inspired by Euripides’s Electra."
Wild Flowers | Girasoles silvestres,/en/movie-tiff/movie/14693,"Julia, aged 22 and mother of two children, falls in love with Óscar. They start an intense and tortuous relationship full of ups and downs. Soon, Julia begins to doubt Óscar’s suitability as a male role model for her children. A violent incident will lead Julia to leave Óscar and look for a better future..."
Boy from Heaven | Walad Min Al Janna,/en/movie-tiff/movie/14588,"Tarik Saleh brings on the screen the intimate ties between the Egyptian Church and State in a film brimming with paranoia, mystery, and conspiracies. Adam, a fisherman’s son, is offered the ultimate privilege to study at the Al-Azhar University in Cairo, the epicenter of the power of Sunni Islam. Shortly after his arrival in Cairo the university’s highest-ranking religious leader, the Grand Imam, suddenly dies and Adam soon becomes a pawn in a ruthless power struggle between Egypt’s religious and political elite. Reminiscent of Umberto Eco’s The Name of the Rose, Boy From Heaven unfolds a fascinating political thriller set in the heart of Egypt’s religious and secular institutions."
The Good Driver | The Good Driver,/en/movie-tiff/movie/14540,"Ivan, a Bulgarian taxi driver living at the Golden Sands tourist resort together with his best friend, is trying to save money in order to go to Finland to meet his wife and son. Ivan gets into trouble with local criminals and is forced to move back to his late mother’s house in his rugged childhood village by the Turkish border. This is where he starts working for the local mayor in the line of business he’s been trying to avoid. The film draws a picture of a Balkan man trying to cope with difficult circumstances and his own past mistakes. Maybe it is only friendship and loyalty that’ll help us when things get rough."
Victim | Obet,/en/movie-tiff/movie/14696,"When the son of Ukrainian immigrant Irina is attacked, the whole city stands up in solidarity with her family and condemns their Roma neighbors, who allegedly committed the crime. But soon another truth starts to emerge. Α suspenseful drama about a woman seeking justice in a racist society, torn between family and the search for the truth; a film that sheds new light onto the issue of the diasporic Ukrainian identity, which finds new resonances in this historic junction. In a fractured society, all people are victims."
Cobblers’ Lot | Cobblers’ Lot,/en/movie-tiff/movie/14598,"Very loosely based on a traditional Hungarian fairy tale, Peter Strickland’s contribution to the omnibus film The Field Guide to Evil, this is an abstract retelling of a folktale about two shoemaker brothers battling for the hand of a beautiful princess. Told in a silent movie style, with beautiful and ornate cards that spell out the story, Strickland’s singular vision is at its peak here. With characteristic grotesqueries coupled with a healthy sense of humor, this story perfectly closed out a weird and scary set of stories to haunt your dreams."
Katalin Varga | Katalin Varga,/en/movie-tiff/movie/14509,"Banished by her husband and her village, Katalin Varga is left with no other choice than to set out on a quest to find her son's real father, Orbán. Taking Orbán with her under false pretense, Katalin travels through the Carpathians where she decides to reopen a sinister chapter from her past and take revenge. The hunt leads her to a place, she prayed eleven years before, that she would never set foot in again."
The Novelist’s Film | So-seol-ga-ui yeong-hwa,/en/movie-tiff/movie/14705,"A female novelist takes a long trip to visit a bookstore, run by a younger colleague who has fallen out of touch. Then she goes up a tower on her own and runs into a film director and his wife. They take a walk in a park and meet an actress, after which the novelist tries to convince the actress to make a film with her. She and the actress get something to eat, then revisit the bookstore where a group of people are drinking. The actress gets drunk and falls asleep..."
